Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.6725023786869648,0.6707062574997725,0.6725023786869648,0.6714037289503122
XGBoost,0.671360608943863,0.6685636257347493,0.671360608943863,0.6698137109629398
SVM,0.594291151284491,0.6190094883555,0.594291151284491,0.6008002449635619
