Model,Accuracy,Sensitivity,Specificity,Time_s
XGBoost (Optimized),0.8787821122740247,0.6268656716417911,0.9383529411764706,4.4536049365997314
Random Forest (Optimized),0.8780209324452902,0.6557213930348259,0.9305882352941176,8.934213638305664
