Model,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std
Random Forest,0.7677048204721285,0.7704286293211763,0.7677048204721285,0.7684630565108971,0.8607661371236919,0.023499889208469998
XGBoost,0.7437016464987106,0.7461211868299956,0.7437016464987106,0.744104308463285,0.818474504389384,0.039681946050836546
SVM,0.6816107915096211,0.6938999428252042,0.6816107915096211,0.6848022057716963,0.7314578567248381,0.013443544411539369
Logistic Regression,0.49633009323546917,0.5374204940805557,0.49633009323546917,0.5011602876167718,0.5272494791815012,0.007512696199946548
